year,MeanWage,P5,P10,P25,unrate
1978,10.456,8.76,9.39,10.1,6.066666667
1979,10.442,8.79,9.4,10.09,5.85
1980,10.398,8.72,9.32,10.04,7.175
1981,10.406,8.7,9.31,10.04,7.616666667
1982,10.372,8.63,9.23,9.99,9.708333333
1983,10.357,8.56,9.17,9.96,9.6
1984,10.376,8.58,9.2,9.97,7.508333333
1985,10.386,8.59,9.21,9.98,7.191666667
1986,10.393,8.57,9.19,9.97,7
1987,10.38,8.57,9.19,9.97,6.175
1988,10.378,8.55,9.18,9.95,5.491666667
1989,10.352,8.54,9.16,9.93,5.258333333
1990,10.339,8.5,9.13,9.91,5.616666667
1991,10.324,8.5,9.1,9.87,6.85
1992,10.337,8.51,9.11,9.88,7.491666667
1993,10.341,8.51,9.11,9.88,6.908333333
1994,10.325,8.53,9.13,9.88,6.1
1995,10.335,8.54,9.14,9.89,5.591666667
1996,10.352,8.56,9.17,9.91,5.408333333
1997,10.393,8.64,9.23,9.95,4.941666667
1998,10.441,8.71,9.3,10,4.5
1999,10.458,8.73,9.32,10.02,4.216666667
2000,10.476,8.74,9.33,10.04,3.966666667
2001,10.487,8.71,9.31,10.04,4.741666667
2002,10.457,8.64,9.24,10.01,5.783333333
2003,10.453,8.61,9.22,10,5.991666667
2004,10.454,8.62,9.23,10,5.541666667
2005,10.453,8.63,9.24,10,5.083333333
2006,10.462,8.64,9.25,10.01,4.608333333
2007,10.465,8.63,9.24,10.01,4.616666667
2008,10.45,8.62,9.22,9.98,5.8
2009,10.417,8.55,9.13,9.93,9.283333333
2010,10.423,8.59,9.15,9.93,9.608333333
2011,10.419,8.59,9.15,9.92,8.933333333
